date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:39	127547/127547	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Apr%202024%2019:01:38%20GMT	https://cavaglia.eu/	cavaglia.eu/index.html	(from )
21:01:39	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2007%20Apr%202024%2019:01:38%20GMT	https://cavaglia.eu/robots.txt		(from )
21:01:39	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2007%20Apr%202024%2019:01:39%20GMT	https://cavaglia.eu/xmlrpc.php	cavaglia.eu/xmlrpc.php	(from https://cavaglia.eu/)
21:01:40	23044/23044	---M-Z	200	added ('OK')	text/css	etag:%225a04-55835a8bca6c0-gzip%22	https://cavaglia.eu/wp-content/plugins/mailchimp//css/flick/flick.css?ver=5.1.18	cavaglia.eu/wp-content/plugins/mailchimp/css/flick/flickad9f.css	(from https://cavaglia.eu/)
21:01:41	733/733	---M-Z	200	added ('OK')	application/rss+xml	etag:%22616abaeacf96a32bafddabb67635d9f9-gzip%22	https://cavaglia.eu/comments/feed/	cavaglia.eu/comments/feed/index.html	(from https://cavaglia.eu/)
21:01:41	30443/30443	---M-Z	200	added ('OK')	application/rss+xml	etag:%22136d05a16050a5293c373a252d6c6a47-gzip%22	https://cavaglia.eu/feed/	cavaglia.eu/feed/index.html	(from https://cavaglia.eu/)
21:01:41	715/715	---M-Z	200	added ('OK')	application/rss+xml	etag:%22616abaeacf96a32bafddabb67635d9f9-gzip%22	https://cavaglia.eu/home/feed/	cavaglia.eu/home/feed/index.html	(from https://cavaglia.eu/)
21:01:41	25245/25245	---M-Z	200	added ('OK')	text/css	etag:%22629d-5c002bfa8c6ed-gzip%22	https://cavaglia.eu/wp-includes/css/dist/block-library/style.min.css?ver=5.1.18	cavaglia.eu/wp-includes/css/dist/block-library/style.minad9f.css	(from https://cavaglia.eu/)
21:01:42	1016/1016	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Apr%202024%2019:01:42%20GMT	https://cavaglia.eu/?mcsf_action=main_css&ver=5.1.18	cavaglia.eu/indexc9e4.html	(from https://cavaglia.eu/)
21:01:42	410468/410468	---M-Z	200	added ('OK')	text/css	etag:%2264364-543c69790fb40-gzip%22	https://cavaglia.eu/wp-content/themes/Divi/style.css?ver=3.0.23	cavaglia.eu/wp-content/themes/Divi/style7ee6.css	(from https://cavaglia.eu/)
21:01:43	35980/35980	---M-Z	200	added ('OK')	text/css	etag:%228c8c-543c69790fb40-gzip%22	https://cavaglia.eu/wp-content/themes/Divi/epanel/shortcodes/css/shortcodes.css?ver=3.0.23	cavaglia.eu/wp-content/themes/Divi/epanel/shortcodes/css/shortcodes7ee6.css	(from https://cavaglia.eu/)
21:01:44	3950/3950	---M-Z	200	added ('OK')	text/css	etag:%22f6e-543c69790fb40-gzip%22	https://cavaglia.eu/wp-content/themes/Divi/epanel/shortcodes/css/shortcodes_responsive.css?ver=3.0.23	cavaglia.eu/wp-content/themes/Divi/epanel/shortcodes/css/shortcodes_responsive7ee6.css	(from https://cavaglia.eu/)
21:01:45	8047/8047	---M-Z	200	added ('OK')	text/css	etag:%221f6f-543c69790fb40-gzip%22	https://cavaglia.eu/wp-content/themes/Divi/includes/builder/styles/magnific_popup.css?ver=3.0.23	cavaglia.eu/wp-content/themes/Divi/includes/builder/styles/magnific_popup7ee6.css	(from https://cavaglia.eu/)
21:01:46	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-591ce7334a3d5-gzip%22	https://cavaglia.eu/wp-includes/js/jquery/jquery.js?ver=1.12.4	cavaglia.eu/wp-includes/js/jquery/jqueryb8ff.js	(from https://cavaglia.eu/)
21:01:47	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-539f3ffccc7c0-gzip%22	https://cavaglia.eu/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	cavaglia.eu/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://cavaglia.eu/)
21:01:48	2262/2262	---M-Z	200	added ('OK')	application/javascript	etag:%228d6-55835a8cbe900-gzip%22	https://cavaglia.eu/wp-content/plugins/mailchimp//js/scrollTo.js?ver=1.5.7	cavaglia.eu/wp-content/plugins/mailchimp/js/scrollTo00e2.js	(from https://cavaglia.eu/)
21:01:49	16015/16015	---M-Z	200	added ('OK')	application/javascript	etag:%223e8f-5c002bfaa6cce-gzip%22	https://cavaglia.eu/wp-includes/js/jquery/jquery.form.min.js?ver=4.2.1	cavaglia.eu/wp-includes/js/jquery/jquery.form.min50fa.js	(from https://cavaglia.eu/)
